No,SubNo,分類,スキルカテゴリ,サブカテゴリ,スキルレベル,チェック項目,VC,DS,必須スキル
155,17,ITエンジニアリング,ITセキュリティ,認証,★★,Kerberos認証とRadius認証の違いを理解し、それぞれの認証の特徴やユースケースを説明できる,,,
156,18,ITエンジニアリング,ITセキュリティ,認証,★★,SAMLやOpenID Connectを用いて一度のログインで複数のWebアプリケーションのログイン認証を連携するシングルサインオンの仕組みを設計できる,,,
157,19,ITエンジニアリング,ITセキュリティ,ブロックチェーン,★★★,ブロックチェーン技術を用いてストレージに蓄積されたデータの安全性と品質を保証するシステムを設計できる,,,
158,20,ITエンジニアリング,ITセキュリティ,ゼロトラスト,★★,ゼロトラストの概念を理解し、クラウド利用やリモートワークに対応した情報セキュリティの担保と、データ活用の利便性を両立させる環境をサービスを利用して実装できる,,,
159,1,AIエンジニアリング,AIシステム運用,AutoML,★,AutoMLを用いて予測対象を判定するために最適な入力データの組み合わせと予測モデルを抽出できる,＊,＊,
160,2,AIエンジニアリング,AIシステム運用,MLOps,★,Gitなどのバージョン管理ソフトウェアを活用して、開発した分析プログラムのソースをリポジトリに登録しチームメンバーと共有できる,,,
161,3,AIエンジニアリング,AIシステム運用,MLOps,★★,機械学習モデルやデータのバージョン管理ツールを活用し、モデル開発業務の効率化だけでなく、品質保証やチームでの共有、デプロイの自動化ができる（Hugging Face Hub、ML Flowなど）,,,
162,4,AIエンジニアリング,AIシステム運用,MLOps,★,MLOpsの概要を理解し、AIモデル性能の維持管理作業の基本的な流れを説明できる,,,
163,5,AIエンジニアリング,AIシステム運用,MLOps,★,AIシステムのモニタリング項目を理解し、AIモデルの劣化状況や予測対象データの不備、AIシステムの異常を検知できる,,,
164,6,AIエンジニアリング,AIシステム運用,MLOps,★★,AIシステムの予測モデル評価において、求められている予測性能を満たしているかを評価し、業務システムへの適用を判断できる,,,
165,7,AIエンジニアリング,AIシステム運用,MLOps,★★,AIモデルの管理方針（更新頻度、バージョン管理、リリース手順など）を決定し、適切にAIモデルを運用できる,,,
166,8,AIエンジニアリング,AIシステム運用,MLOps,★★,フィーチャーストア機能を用いて、機械学習で使用する特徴量データを仕様情報やバージョンと共に管理し、機械学習運用時の特徴量の一貫性の確保や効率的な運用に活用できる,,,
167,9,AIエンジニアリング,AIシステム運用,MLOps,★★★,AIシステム運用において、モデル作成からモデルの評価、デプロイ、学習データの更新、モデル再学習のパイプラインを設計し、AIモデルのライフサイクルを自動化できる,,,
168,10,AIエンジニアリング,AIシステム運用,MLOps,★★★,AIシステムに求められる要件（予測性能、リアルタイム性、コストなど）を考慮し、適切な学習環境および分析環境（サーバ/エッジなど）を設計できる,,,
169,11,AIエンジニアリング,AIシステム運用,AIOps,★,ITシステムの運用におけるAIOpsの概要とメリットを説明できる,,,
170,12,AIエンジニアリング,AIシステム運用,AIOps,★★,ITシステムのアプリケーションログと過去の障害実績より、統計的手法や機械学習を用いて大量のログから障害の予兆を検出し障害を未然に防止するシステムを設計することができる,,,
171,1,AIエンジニアリング,生成AI,生成AI活用,★★,生成AIで出力したい結果を生成するために、RAG環境を設計・実装できる,＊,,
172,2,AIエンジニアリング,生成AI,生成AI活用,★★,マルチモーダルな生成AIを用いて、データ分析や業務で活用できるシステムの設計・実装できる,＊,,
173,3,AIエンジニアリング,生成AI,コーディング支援,★,LLMを利用して、データ分析やサービス、システム開発のためのコードを作成、修正、改良できる,,,
174,4,AIエンジニアリング,生成AI,コーディング支援,★,LLMを利用して、開発した機能のテストや分析検証用のダミーデータを生成できる,,＊,
175,5,AIエンジニアリング,生成AI,コーディング支援,★★,生成AIの機能や特性を理解したうえで活用し、既存システムの機能や要件を維持しつつ、効率的かつ高品質なプログラムのリプレイスやリファクタリングができる,,,
176,6,AIエンジニアリング,生成AI,ファインチューニング,★★,ファインチューニングの目的や要件に対して、ファインチューニング用のデータ収集、必要に応じたデータベース化を行い、ファインチューニングを実施・評価できる（ベクトルDB、LlamaIndex、LangChain、モデレーションなど）,＊,,
177,7,AIエンジニアリング,生成AI,ファインチューニング,★★,要件に応じて、拡散モデルのファインチューニングや RAG（Retrieval-Augmented Generation）基盤の構築・実装ができる,,,
178,8,AIエンジニアリング,生成AI,ファインチューニング,★★★,LLMの活用目的やビジネス目標に応じて、モデル選定、事前学習・ファインチューニング・RAGの活用方針を策定し、データ収集、データベース設計、評価指標の設計まで一貫して対応できる,＊,,
179,9,AIエンジニアリング,生成AI,生成AI開発,★★★,独自に新たな生成AIを開発する必要性や目的を整理した上で、新たな生成AIに必要なデータ収集、データベース開発、生成AIの設計・開発・評価ができる,＊,＊,
180,10,AIエンジニアリング,生成AI,生成AI開発,★★★,独自に新たな生成AIの開発基盤の必要性や目的を整理した上で、生成AI開発環境（開発基盤）の設計・開発・実装ができる,＊,＊,
